id_site,impact_type,hypoxia_rank
4063,high_velocity,V
3188,high_velocity,V
4064,high_velocity,V
4065,high_velocity,V
1246,high_velocity,V
1247,high_velocity,V
1248,high_velocity,V
1253,high_velocity,V
1255,high_velocity,V
1256,high_velocity,V
1257,high_velocity,V
1279,high_velocity,V
1280,high_velocity,V
1282,high_velocity,V
1285,high_velocity,V
1287,high_velocity,V
1288,high_velocity,V
1289,high_velocity,V
1290,high_velocity,V
1291,high_velocity,V
1292,high_velocity,V
1294,high_velocity,V
1295,high_velocity,V
1297,high_velocity,V
1303,high_velocity,V
1305,high_velocity,V
1307,high_velocity,V
1525,blackwater,H
1524,blackwater,H
1523,blackwater,H
1522,blackwater,H
1521,blackwater,H
1357,blackwater,M
1363,blackwater,M
1365,blackwater,M
1366,blackwater,H
1517,blackwater,H
1518,blackwater,H
1519,blackwater,H
1520,blackwater,H
1513,blackwater,M
1516,blackwater,M
1515,blackwater,M
1528,blackwater,M
1512,blackwater,M
1514,blackwater,M
1345,blackwater,M
1344,blackwater,L
1343,blackwater,L
1334,blackwater,L
1587,blackwater,L
1600,blackwater,L
1533,blackwater,L
1534,blackwater,L
1536,blackwater,L
1529,blackwater,L
1535,blackwater,L
3114,blackwater,M
3115,blackwater,M
3116,blackwater,M
3117,blackwater,M
3118,blackwater,M
3119,blackwater,M
3120,blackwater,M
3121,blackwater,M
3122,blackwater,M
3123,blackwater,M
3124,blackwater,M
3125,blackwater,L
3126,blackwater,L
3127,blackwater,L
3130,blackwater,L
3142,blackwater,L
3144,blackwater,L
3146,blackwater,L
3147,blackwater,L
3149,blackwater,L
3150,blackwater,L
3151,blackwater,L
3152,blackwater,L
3153,high_velocity,V
3154,high_velocity,V
3155,high_velocity,V
3156,high_velocity,V
3157,high_velocity,V
3158,high_velocity,V
3159,high_velocity,V
3160,high_velocity,V
3161,high_velocity,V
3163,high_velocity,V
3164,high_velocity,V
3182,high_velocity,V
4126,blackwater,H
4135,blackwater,H
4137,blackwater,H
4138,blackwater,H
4139,blackwater,H
4127,blackwater,H
4128,blackwater,H
4130,blackwater,H
4131,blackwater,H
4132,blackwater,H
4134,blackwater,H
4145,blackwater,H
1340,blackwater,L
1529,blackwater,L
1530,blackwater,L
1341,blackwater,L
1342,blackwater,L
1343,blackwater,L
1344,blackwater,L
1345,blackwater,L
1531,blackwater,L
1532,blackwater,L
3213,high_velocity,V
3211,high_velocity,V
3219,high_velocity,V
3230,high_velocity,V
3231,high_velocity,V
3214,high_velocity,V
3232,high_velocity,V
3233,high_velocity,V
3234,high_velocity,V
3248,high_velocity,V
3235,high_velocity,V
3249,high_velocity,V
3222,high_velocity,V
3216,high_velocity,V
3282,high_velocity,V
3225,high_velocity,V
3239,high_velocity,V
3255,high_velocity,V
3268,high_velocity,V
3079,high_velocity,V
3080,high_velocity,V
3081,high_velocity,V
3082,high_velocity,V
3083,high_velocity,V
3283,high_velocity,V
3284,high_velocity,V
3285,high_velocity,V
3286,high_velocity,V
3287,high_velocity,V
3288,high_velocity,V
3289,high_velocity,V
3290,high_velocity,V
3291,high_velocity,V
3311,high_velocity,V
3312,high_velocity,V
3292,high_velocity,V
3301,high_velocity,V
3302,high_velocity,V
3303,high_velocity,V
3304,high_velocity,V
3305,high_velocity,V
3306,high_velocity,V
3307,high_velocity,V
3310,high_velocity,V
3308,high_velocity,V
3309,high_velocity,V
3293,high_velocity,V
3294,high_velocity,V
3295,high_velocity,V
3296,high_velocity,V
3297,high_velocity,V
3298,high_velocity,V
3299,high_velocity,V
3300,high_velocity,V
4260,blackwater,H
4261,blackwater,H
4262,blackwater,H
4263,blackwater,H
4264,blackwater,H
4265,blackwater,H
4287,blackwater,H
4283,blackwater,M
4282,blackwater,M
4286,blackwater,M
4281,blackwater,M
